age,overall,pace,shooting,passing,dribbling,defending,physic
28,78,79,60,74,79,75,78
29,78,61,42,58,62,79,80
30,78,82,62,72,75,71,78
28,78,71,61,70,77,77,69
28,78,70,64,75,75,77,82
29,78,85,72,73,78,56,82
28,78,58,72,82,74,60,72
28,78,75,74,78,77,61,70
28,78,76,77,51,68,38,79
28,78,53,34,55,60,78,75
31,78,76,61,71,73,78,71
28,78,71,74,77,79,67,68
31,78,68,47,65,69,77,84
29,78,67,79,76,79,49,70
28,78,68,39,69,73,75,74
27,78,78,77,75,80,38,69
28,78,63,72,77,79,60,64
30,78,66,81,62,74,33,69
30,78,68,70,79,79,49,70
29,78,65,57,71,68,75,80
28,78,63,55,67,70,79,76
27,78,85,63,73,78,74,75
32,78,68,77,76,78,45,64
28,78,67,62,71,73,76,77
28,78,63,75,78,79,39,58
29,78,67,59,68,65,76,76
30,78,39,38,49,51,80,74
27,78,69,58,66,64,80,75
28,78,86,78,68,82,36,55
29,78,71,33,55,57,77,78
28,78,86,74,72,83,34,67
28,78,66,80,62,71,27,84
28,78,83,74,68,77,35,76
29,78,54,50,62,59,78,75
30,78,60,76,51,68,37,78
29,78,50,63,71,68,76,84
28,78,65,68,72,73,79,79
29,78,78,54,68,67,76,79
28,78,75,73,77,81,53,67
28,78,89,60,70,79,72,79
31,78,69,80,62,75,36,66
30,78,50,51,54,53,78,81
32,78,50,60,57,54,78,79
29,78,74,72,78,79,65,71
29,78,57,64,72,68,76,77
31,78,76,50,66,77,76,74
27,78,68,68,79,79,68,63
27,78,66,68,68,73,80,80
30,78,70,79,69,73,39,81
31,78,87,58,70,77,74,53
35,78,80,73,76,77,27,59
31,78,80,71,71,76,74,74
27,78,72,62,74,69,76,81
32,78,79,77,55,74,27,66
20,77,76,36,59,61,75,80
22,77,76,43,68,74,76,69
20,77,77,73,73,77,68,74
23,77,62,71,72,78,74,77
21,77,73,74,56,74,29,69
