,Размер,Вес,Сладость,Хрусткость,Сочность,Спелость,Кислотность,Качество
86,1.89,-1.235,-2.003,1.618,0.361,2.712,0.125,1
87,0.524,-0.785,0.307,-0.774,1.22,-1.33,1.355,1
88,-1.448,-0.401,-2.016,0.519,0.922,2.638,-0.529,0
89,1.288,0.118,-2.04,1.254,0.422,0.274,0.064,0
90,0.517,0.644,-2.753,1.266,0.714,1.041,-2.967,1
91,-0.63,-1.161,-0.33,0.93,2.087,0.37,-4.561,1
92,-0.692,-2.431,-0.91,2.428,0.242,2.314,1.286,0
93,-2.09,-2.261,3.823,-0.512,0.661,0.663,-1.714,1
94,0.097,-2.09,-5.019,0.173,1.525,5.278,-1.7,0
95,1.373,-0.816,-1.138,1.949,-0.222,-0.562,1.652,1
96,-0.618,-2.132,-1.58,-0.195,3.626,3.259,-1.634,0
97,1.803,-0.976,-1.547,0.926,3.14,-0.683,3.401,1
98,-0.201,0.579,-2.126,3.129,-4.402,-0.553,-2.25,1
99,-1.159,0.723,-0.04,-0.748,0.678,1.252,-2.146,1
100,-1.581,-0.76,0.135,1.882,1.998,0.729,0.287,1
101,-1.111,-2.085,2.52,0.918,1.377,0.937,-0.894,1
102,-1.922,-3.481,0.441,1.778,-0.284,0.823,-3.504,0
103,-1.967,0.776,0.271,0.696,2.158,-0.07,-1.521,1
104,-1.573,-0.009,1.969,1.884,0.978,-0.655,2.128,0
105,-0.427,-1.437,-0.661,-0.561,-1.872,1.269,-1.751,0
106,-0.725,-1.447,1.841,3.086,2.229,0.555,3.041,1
107,1.307,-2.355,-1.471,-1.043,1.836,0.114,-0.055,1
108,0.137,-3.035,-0.441,1.445,-3.824,0.85,-1.612,0
109,1.646,-3.028,0.251,0.966,-1.554,2.085,-0.475,0
110,1.439,-1.219,-0.338,-0.395,-1.117,3.083,-1.747,1
111,-1.213,-0.249,-0.002,2.51,1.499,0.756,-0.363,1
112,1.052,-4.312,-1.399,-2.791,4.269,0.501,1.611,1
113,-2.031,-1.642,-0.557,0.481,1.199,-0.084,5.381,0
114,-1.712,-2.53,-2.067,0.443,3.547,1.022,5.17,0
115,0.105,-1.601,-0.787,2.346,2.323,0.53,1.79,0
116,-1.052,-3.068,-2.905,-0.622,3.705,3.242,0.639,0
117,-1.447,-1.137,-0.837,1.932,-1.512,0.802,2.669,0
118,-3.01,1.548,-0.568,0.209,2.317,-1.242,-2.727,1
119,-0.592,-2.619,-1.073,1.115,-2.536,1.755,-1.661,0
120,-3.836,-0.839,1.413,2.251,-0.344,0.947,1.661,0
121,-0.776,-0.117,-1.813,1.242,-0.578,1.326,0.224,0
122,-3.203,-0.85,-1.106,0.474,-0.023,2.356,-1.591,0
123,0.696,-1.669,-1.442,2.189,-2.767,0.764,-0.122,0
124,0.09,-2.25,-2.674,2.762,0.036,-0.904,-1.456,1
125,-2.229,-1.097,3.59,0.14,1.563,-0.162,-1.335,1
126,-2.245,-0.048,0.251,0.772,2.243,-0.688,3.379,0
127,-3.716,0.003,1.684,0.094,3.192,-1.014,4.436,0
128,-2.455,-0.386,-1.073,0.914,1.925,2.438,0.339,0
129,-1.163,-1.417,0.44,2.654,-0.096,-0.95,3.146,0
130,-3.424,-1.835,0.795,-0.558,4.606,0.178,3.766,0
131,1.744,1.633,-1.279,2.759,-2.42,-0.215,2.064,1
132,-2.268,-0.996,2.255,-0.621,-0.773,1.336,-0.321,1
133,4.421,-2.548,-1.756,0.902,-0.413,1.987,1.614,1
134,0.132,-3.038,-2.465,1.619,0.3,2.111,-3.408,0
135,1.482,-0.107,-0.747,-0.562,2.997,-0.907,2.288,1
136,0.02,-0.591,-1.739,0.001,0.695,-0.018,1.307,0
137,0.264,-2.896,-0.158,-0.185,-2.849,0.405,-3.042,0
138,-0.821,0.934,-1.336,2.184,0.633,1.421,2.435,1
139,0.031,0.563,0.381,1.309,0.317,0.436,-2.336,1
140,1.096,-2.511,-3.217,1.957,-1.502,2.893,-0.946,0
141,-2.505,-3.108,-1.139,1.002,-2.206,1.812,-3.693,0
142,1.259,-0.558,-2.579,-0.489,2.581,-0.233,0.489,0
143,-1.082,-0.128,0.093,2.235,-0.551,0.3,0.639,0
144,-1.117,-1.379,-1.274,0.484,1.479,1.373,1.721,0
145,-3.57,-1.558,0.398,0.287,4.265,1.046,4.214,0
146,1.349,-2.629,0.689,4.58,3.794,0.179,-0.414,1
147,-1.529,-2.206,2.316,1.346,3.645,-0.297,-2.387,1
148,1.46,1.892,-1.421,-0.421,0.514,0.232,3.388,1
149,0.375,-1.446,-1.181,2.601,2.827,1.733,1.6,1
150,1.188,-3.489,-0.025,1.056,2.167,-1.408,1.191,1
151,-2.463,-0.563,-2.129,2.105,-3.97,0.643,-0.269,0
152,0.192,1.363,-0.105,-1.512,-0.66,2.737,-0.188,1
153,-3.808,0.218,1.477,-0.016,3.141,0.216,3.134,0
154,-1.687,-2.205,0.521,0.701,-1.9,0.541,-2.18,0
155,-3.918,-0.29,2.678,-1.298,0.767,0.36,-2.206,1
156,1.95,-0.781,-3.134,0.116,0.419,-1.73,1.378,0
157,-1.876,-1.105,0.107,2.808,-2.199,1.82,0.1,0
158,0.471,-1.879,-3.945,0.458,1.827,2.927,0.152,0
159,0.008,-0.258,-0.589,2.217,2.347,-0.44,-4.798,1
160,-3.024,-0.848,-3.926,0.631,-3.393,4.042,-0.761,0
161,3.257,0.976,-0.403,6.298,-4.283,-5.865,3.499,0
162,0.601,-1.305,0.785,1.771,1.124,1.414,2.348,1
163,1.361,-0.97,-2.874,0.905,-0.132,0.136,1.612,0
164,-1.338,-0.414,-1.039,2.194,0.339,2.055,-0.24,0
165,-0.349,1.836,-0.191,3.549,-0.85,-3.652,1.657,0
166,-0.916,-2.118,-0.722,2.039,-1.551,2.455,-2.059,0
167,0.648,-0.598,-0.349,1.206,0.686,2.032,-2.213,1
168,2.214,-0.029,-1.643,3.375,-0.311,-0.733,1.01,1
169,-2.166,-2.176,2.3,-0.551,-0.903,2.763,-2.031,1
170,0.893,-2.57,0.686,2.202,-0.333,-1.841,1.403,1
171,-2.629,-2.051,-1.243,0.028,-0.474,1.34,2.258,0
172,-0.126,0.025,0.003,1.457,-0.179,2.084,-0.132,1
173,-0.785,-2.565,-2.836,1.629,-0.846,5.548,-2.179,0
174,0.268,-1.157,2.572,-0.33,-1.242,2.226,3.042,1
175,-3.005,-0.487,2.24,-0.953,1.93,-0.253,-2.337,0
176,1.684,-2.242,2.246,1.356,-1.252,-1.721,-0.961,0
177,-1.08,1.245,1.215,-0.812,-0.062,-0.277,-1.977,1
178,-3.075,-1.516,-1.669,0.172,1.104,3.378,-0.002,0
179,0.443,-2.638,0.319,2.622,2.551,1.188,-1.013,1
180,2.181,-2.281,0.472,2.993,-0.991,2.618,2.561,1
181,-1.618,-2.896,3.3,1.412,1.36,0.9,0.158,1
182,-2.556,-0.517,-0.932,-1.084,0.638,3.299,-1.137,0
183,-2.456,-1.301,1.904,-0.329,0.641,0.325,-2.568,1
184,-4.969,-0.814,-0.482,1.814,1.348,3.773,1.952,0
185,-0.307,-1.551,-4.765,-1.649,4.754,2.603,2.598,0
186,-1.624,1.667,-1.005,-0.174,-2.277,0.914,2.057,0
187,-2.743,-1.214,-1.989,-0.65,-0.495,3.849,-1.866,0
188,-2.653,-1.616,2.626,0.196,2.424,-0.195,-3.941,1
189,-2.685,-1.375,1.014,-0.084,1.662,2.814,-0.765,0
190,-0.433,-1.474,1.062,0.989,0.22,2.118,0.925,1
191,2.924,-0.928,-4.663,-0.548,2.73,1.898,-0.237,1
192,-1.711,0.621,-0.734,-0.351,-1.095,1.754,0.86,0
193,-2.133,-0.74,-0.749,0.475,1.772,1.257,0.26,0
194,-2.938,-0.708,1.112,0.697,0.992,0.389,0.849,0
195,1.301,-1.286,0.443,1.216,0.411,-3.549,4.17,0
196,-0.816,-0.302,-0.001,-0.384,-1.082,2.344,-0.494,1
197,-1.674,0.396,1.076,1.093,1.384,-0.2,-0.404,0
198,-1.777,-1.877,-0.698,-0.246,2.476,0.082,5.011,0
199,-3.977,-1.877,-0.104,1.482,-0.416,1.765,2.719,0
200,-1.194,-1.485,-1.683,-0.256,1.888,1.37,1.64,0
201,-4.39,0.186,2.328,0.949,2.208,0.288,3.762,0
202,1.104,-3.016,2.019,1.746,2.762,-3.302,2.875,1
203,-2.841,0.359,-3.13,-0.185,-0.048,4.057,-0.157,0
204,0.237,-0.744,1.893,1.366,1.265,1.024,1.095,1
205,0.099,-2.018,-1.593,2.016,-1.482,0.863,-1.711,0
206,-4.328,-0.871,-0.255,0.357,3.328,2.484,1.796,0
207,4.491,-0.329,-1.274,3.159,4.451,-2.136,0.269,1
208,0.945,-3.321,2.968,0.078,-0.965,2.648,-0.503,1
209,-0.961,-1.261,-3.247,-0.755,-0.244,4.243,-2.153,0
210,-0.664,-0.801,0.025,3.526,1.782,1.01,0.939,1
211,-0.062,-1.325,-1.782,-0.346,-0.938,0.864,-2.835,0
212,2.35,-3.968,-1.102,-2.524,1.596,1.786,2.142,1
213,-0.592,-0.062,-0.523,2.137,3.076,-0.347,-3.046,1
214,-1.124,-1.663,3.388,2.151,1.8,-1.995,-1.484,0
215,2.612,-0.922,-2.197,3.533,-0.921,-0.015,1.618,1
216,-0.459,-0.937,-0.803,1.56,0.168,1.917,-0.349,1
217,1.567,0.869,-0.044,-0.717,1.769,-0.873,2.685,1
218,0.099,-1.534,-0.404,3.184,0.138,-2.544,0.28,1
219,-0.271,-2.516,2.343,0.7,0.357,1.942,-1.653,1
220,0.306,-0.482,-0.115,2.182,3.88,-3.676,1.762,1
221,1.76,1.688,-1.544,-1.894,-0.809,1.416,0.838,1
222,0.547,-0.9,-1.019,2.549,0.57,-1.564,1.914,1
223,-0.511,-1.648,2.07,-3.127,3.447,-2.436,1.182,1
224,0.625,-0.787,0.908,-0.35,0.654,-1.48,2.569,1
225,-2.002,-2.626,-0.909,-1.78,1.197,3.679,-4.434,0
226,0.585,-1.48,-1.53,1.593,0.221,-0.047,1.509,0
227,-1.053,-3.291,-4.056,-0.709,-3.598,2.096,-6.461,0
228,-1.784,-1.102,0.704,4.191,2.961,0.014,1.134,1
229,-1.244,0.248,-0.231,1.668,-2.818,-1.965,-0.245,0
230,-1.286,1.105,-3.157,1.974,0.223,1.443,0.814,0
231,-2.62,-2.222,3.21,3.198,4.005,-0.87,-0.63,1
232,-0.049,0.006,-0.564,1.539,2.352,-2.511,1.413,1
233,1.298,-0.333,-1.853,-0.055,3.748,-1.127,-0.486,0
234,-1.505,-0.61,-1.535,1.822,-1.007,2.053,0.531,0
235,-4.988,-0.191,3.451,-0.76,1.726,-0.086,-1.855,1
236,-2.343,-0.619,-0.454,1.198,1.102,2.854,0.675,0
237,0.124,-1.248,-0.764,1.886,-1.16,0.645,-0.252,0
238,3.062,-0.169,-1.458,3.228,-1.222,-1.767,1.123,0
239,-0.903,-0.006,-1.858,1.906,-1.324,-0.238,-0.635,0
240,-2.279,-2.127,-1.057,1.488,1.48,2.654,2.662,0
241,-2.217,-1.668,3.01,1.283,1.421,-2.214,3.758,0
242,-0.026,-0.799,-3.372,3.223,-1.319,0.301,-0.816,0
243,-4.573,0.101,1.584,-0.553,-0.677,1.379,0.142,0
244,-2.757,0.781,3.33,0.232,3.293,-4.661,7.405,0
245,2.509,-3.114,-2.8,2.153,-1.29,1.092,-1.022,1
246,0.551,-0.256,-0.57,-0.503,-1.605,2.964,0.128,1
247,-1.513,5.149,-0.392,3.678,-1.582,-3.871,0.918,1
248,0.114,-1.507,-2.052,0.423,1.315,1.935,-1.098,0
249,-2.039,-1.097,0.533,2.483,2.832,0.334,-0.431,1
250,-4.402,-1.881,-0.186,-1.156,1.517,2.436,-4.663,0
251,5.19,-0.38,0.674,2.712,4.227,-2.088,3.677,1
252,0.097,-0.619,1.373,-1.552,-1.488,1.913,-2.731,1
253,-3.137,0.204,2.313,4.401,-4.786,1.181,-1.445,0
254,-0.846,1.637,-1.397,0.207,-2.826,-0.21,0.196,1
255,1.215,0.454,-0.911,2.839,-1.287,-1.302,0.34,1
256,-4.442,-1.308,-0.645,1.031,0.744,3.012,-1.553,0
257,-2.438,3.603,-3.994,-0.399,0.811,0.813,-1.674,1
258,-1.616,-0.196,-2.146,0.024,1.768,-1.739,-0.985,1
259,-1.22,0.728,0.5,0.941,1.72,-1.423,0.866,0
260,1.865,0.566,-1.24,-0.461,-3.684,3.531,-0.08,1
261,-2.745,-1.105,1.264,0.992,0.327,-0.581,3.153,0
262,3.145,-0.618,-1.889,-2.318,1.988,2.171,3.442,1
263,-0.888,0.02,-1.148,0.063,0.486,1.332,-0.531,0
264,0.178,-1.13,-0.274,3.291,-3.404,-1.136,0.7,0
265,0.778,0.75,-2.107,0.25,1.194,-0.297,1.338,0
266,-1.66,-0.926,-0.124,1.832,0.258,0.62,2.541,0
267,0.392,-2.232,-4.273,-0.253,1.473,2.701,0.236,0
268,-1.552,-1.354,0.298,-0.168,0.833,3.28,-0.153,0
269,0.47,0.287,1.317,4.681,-3.137,-4.62,2.193,0
270,0.411,-1.074,0.217,1.095,-1.446,2.217,0.727,1
271,-1.029,-0.315,1.824,1.232,0.215,-2.694,2.1,0
272,-3.179,-0.885,0.776,-0.11,3.816,0.421,2.158,0
273,-0.284,-1.755,1.174,2.289,1.288,1.153,0.399,1
274,2.484,-1.389,-1.437,1.101,-1.444,0.938,1.49,1
275,2.684,-4.701,1.4,1.347,-1.304,4.611,0.692,1
276,-6.13,4.738,0.253,-1.393,1.965,-3.411,-5.015,1
277,-2.593,-0.265,0.601,-0.353,2.684,-0.698,2.477,0
278,-2.264,2.127,-1.563,-1.675,0.025,1.927,0.764,0
279,-0.561,-0.157,-1.695,0.454,1.542,0.352,1.822,0
280,1.408,-1.274,-3.74,0.638,1.148,1.561,-0.06,0
281,-0.443,-2.352,-1.479,1.066,-0.939,1.62,-2.42,0
282,-5.174,-0.833,3.814,-1.138,1.297,-0.635,-1.395,1
283,3.661,-2.309,-2.734,3.635,0.376,3.827,0.026,1
284,0.624,-3.763,-1.63,1.239,-0.401,0.129,0.383,1
285,-0.442,-2.207,-2.669,0.779,0.19,3.355,0.41,0
286,-5.5,-1.751,-0.641,0.407,-1.607,1.975,-3.077,0
287,-4.252,-1.352,1.092,1.571,-2.323,2.434,-0.046,0
288,-1.964,-1.402,3.562,0.391,-0.844,1.856,3.552,1
289,0.489,0.378,-2.884,0.51,-0.167,2.295,0.427,0
290,-3.22,0.375,1.65,1.482,1.046,-2.202,4.043,0
291,-0.886,-1.126,-0.291,2.596,1.28,1.262,0.328,1
292,-1.305,-1.107,2.47,2.119,1.763,-0.022,0.808,1
293,-2.625,-0.572,1.61,0.995,0.318,-1.185,2.201,0
294,0.497,-4.501,-0.721,3.177,2.536,-2.032,3.35,1
295,0.591,-0.002,1.196,1.805,-0.31,-0.344,2.28,0
296,-1.416,-0.948,-0.638,1.537,1.632,0.144,3.256,0
297,-3.854,-1.868,1.415,1.591,-0.062,2.39,1.798,0
298,1.138,-0.313,-1.403,0.532,-0.584,-2.712,2.72,0
299,-3.0,-0.474,1.69,1.535,1.616,-0.554,0.052,1
300,-2.691,-1.314,0.676,-0.041,-0.075,1.53,-1.818,1
301,0.66,0.659,-0.975,2.124,0.563,-1.736,1.333,1
302,0.97,-3.874,1.37,2.435,0.356,3.217,2.434,1
303,2.668,-3.916,-0.075,-0.713,1.178,0.094,-0.328,1
304,-3.274,-1.254,2.683,1.223,1.142,-0.729,4.472,0
305,-1.772,0.447,-1.534,2.003,3.604,-0.452,-3.646,1
306,-2.254,-0.181,-0.375,-0.641,3.269,-1.137,3.74,0
307,-2.663,-2.792,-1.968,0.221,1.706,3.889,2.72,0
308,1.636,-0.234,-2.304,1.61,-1.097,-0.193,-0.172,0
309,-0.376,-1.443,-0.871,1.297,-0.214,0.99,-1.429,0
310,1.649,1.892,1.236,0.766,3.402,-2.487,6.009,1
311,-2.995,-0.241,1.274,-0.144,2.207,0.182,-1.072,1
312,-4.833,-2.361,4.951,-1.839,1.059,0.203,-2.171,1
313,-1.628,1.297,-0.108,0.87,3.019,0.456,0.595,0
314,-2.107,1.018,2.236,2.272,-1.374,-2.232,1.314,0
315,3.096,-3.112,-4.338,2.325,2.258,1.142,0.013,1
316,-0.425,1.239,-1.335,1.94,1.966,0.105,-1.923,1
317,-4.244,0.599,4.47,1.921,-1.351,-3.691,4.289,0
318,-1.938,-2.488,-0.86,0.812,-2.254,1.48,-2.958,0
319,-2.229,-1.034,0.922,-0.161,2.694,-0.804,2.317,0
320,-0.687,-3.021,-0.399,2.902,2.595,-3.423,0.468,1
321,-0.072,-0.299,-2.201,1.684,-1.506,0.156,-0.78,0
322,2.646,-0.45,-4.574,-0.045,3.849,1.139,-0.488,0
323,-3.286,1.184,-2.016,0.571,2.057,3.36,0.931,0
324,4.525,-0.524,-3.87,3.056,0.058,1.013,-1.232,1
325,-0.214,-2.516,2.839,2.741,1.001,1.325,2.914,1
326,-1.393,1.319,0.624,3.571,-1.589,0.203,-0.492,0
327,3.985,-1.634,-1.989,0.348,1.887,1.285,2.767,1
328,3.039,-2.666,-1.491,2.807,3.2,-1.194,1.687,1
329,1.393,-1.563,-5.03,-0.15,-0.171,2.746,-0.552,0
330,-0.829,-1.253,1.294,0.622,1.472,0.877,-1.13,1
331,2.665,0.504,-1.318,-2.818,-1.205,2.675,3.099,1
332,0.598,0.076,-0.111,0.804,1.383,-2.405,3.453,0
333,-1.904,-1.999,0.95,1.572,-2.15,-0.628,-1.782,0
334,-4.034,-1.246,2.591,-0.147,1.296,0.678,-0.953,1
335,1.418,-0.16,0.138,0.626,-1.481,-1.946,-0.689,0
336,-3.078,-3.069,5.094,2.113,2.134,-1.193,-1.957,1
337,-1.012,2.308,1.705,3.095,1.411,-5.2,2.622,1
338,-0.873,-2.754,0.684,2.65,-2.917,-1.275,-2.144,0
339,-1.615,-2.472,-0.25,1.041,0.918,-0.459,4.94,0
340,-0.179,-1.147,-1.048,-0.146,0.979,2.94,-0.669,0
341,2.864,0.663,-4.805,2.483,-3.939,2.493,-2.701,1
342,1.084,-1.526,-1.475,0.23,-0.108,-0.045,0.085,1
343,1.667,-1.528,-2.045,0.891,2.444,-0.304,2.066,1
344,0.576,-1.699,1.235,0.411,2.902,-2.715,2.192,1
345,0.586,-2.262,-0.155,1.065,2.478,-1.89,2.586,1
346,1.8,-2.596,-3.424,1.328,-0.836,1.481,0.995,1
347,-1.108,0.42,-0.784,0.49,4.14,2.334,-1.815,0
348,1.77,0.773,0.65,0.665,-0.768,-0.889,2.649,1
349,1.236,-2.088,0.561,-1.729,-0.82,3.17,-4.041,1
350,-2.6,-1.291,2.448,1.437,2.873,-0.855,-1.102,1
351,3.795,-5.103,1.502,1.328,-2.311,5.553,2.734,1
352,1.274,-2.511,0.383,2.715,-0.288,2.283,1.501,1
353,-0.848,-1.182,0.271,0.582,2.344,-0.523,2.145,0
354,0.697,-2.103,-0.105,-2.76,3.835,-0.531,1.525,1
355,-4.902,-0.666,2.699,1.729,1.322,1.075,1.612,0
356,1.117,-2.983,0.463,3.001,-0.643,0.466,-0.558,0
357,1.042,1.364,1.402,2.641,-1.372,-2.626,3.44,0
358,-3.013,-0.506,-0.652,-0.708,-1.205,4.025,0.339,0
359,-2.252,-2.924,-0.623,0.192,-2.615,1.274,-3.976,0
360,-2.439,-3.505,-2.41,-1.345,4.407,3.387,2.166,0
361,3.632,-1.284,-2.142,0.495,2.478,0.499,1.837,1
362,-1.643,-0.471,0.223,1.878,2.47,-0.021,-2.398,1
363,0.944,-0.88,-1.774,3.478,-0.254,-1.358,1.282,1
364,0.262,-1.686,0.339,1.081,-0.995,-0.903,3.726,0
365,-4.767,-0.246,-1.89,-0.117,2.042,1.976,-3.725,0
366,-0.276,0.218,-3.956,0.889,0.546,0.034,-0.705,1
367,3.284,-4.16,-2.261,0.16,-0.861,2.511,1.399,1
368,-3.42,1.146,0.445,-0.019,2.839,-0.561,-3.202,1
369,1.244,-2.466,-3.888,2.234,-0.618,0.838,-1.57,1
370,1.469,-1.341,1.451,1.749,2.423,-3.066,2.158,1
371,-2.485,-1.009,-4.661,0.478,-1.341,4.17,-2.09,0
372,-2.118,-2.561,-0.797,0.323,-0.527,3.087,-2.52,0
373,-0.973,1.926,-0.98,-1.134,0.511,-1.418,-0.102,1
374,-2.493,-1.817,2.048,1.24,1.959,0.473,-0.6,1
375,2.131,-1.05,-0.183,0.949,2.784,-1.198,3.655,1
376,-1.21,-0.714,-0.402,2.034,0.534,1.076,0.33,0
377,1.824,-3.037,-0.408,3.246,1.558,2.833,0.586,1
378,1.91,-1.365,-1.403,2.654,0.65,2.653,-0.494,1
379,-1.663,-2.983,-1.861,-0.495,3.318,1.943,2.565,0
380,-1.564,1.203,-1.647,-0.907,-0.366,2.661,1.117,0
381,-2.782,-1.382,0.17,0.822,-0.499,-0.796,4.989,0
382,-1.39,-1.578,0.559,2.621,3.36,0.044,-2.587,1
383,1.005,-4.521,-0.506,1.478,2.247,-1.523,-0.694,1
384,-0.105,-1.219,-1.117,2.734,-1.377,-1.911,-2.292,1
385,2.317,-1.766,-3.142,-0.897,1.304,1.672,-0.965,1
386,-1.578,-0.952,-0.269,-0.227,2.032,-0.612,2.149,0
387,-0.631,0.254,-1.467,1.24,1.638,1.538,-1.242,0
388,1.456,-0.482,-2.502,2.683,-1.734,0.079,-0.839,1
389,-1.723,-1.761,1.942,0.593,-0.045,-1.49,3.782,0
390,-0.153,-2.49,-2.195,-0.59,3.561,1.829,0.206,0
391,-2.709,-0.979,-2.106,1.468,-1.546,0.296,-2.59,0
